Image Name, Camera IP, Date, Time ,Zone, Person Count
14-09-2023T15-40-31.907_depth_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:31.907, Zone2.1, 0
14-09-2023T15-40-31.907_depth_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:31.907, Zone2, 0
14-09-2023T15-40-31.936_depth_Camera_34.png, http://10.179.0.34, 2023-09-14,15:40:31.936, Zone3, 0
14-09-2023T15-40-31.906_depth_Camera_43.png, http://10.179.0.43, 2023-09-14,15:40:31.906, Zone4, 0
14-09-2023T15-40-31.930_depth_Camera_20.png, http://10.179.0.20, 2023-09-14,15:40:31.930, Zone5, 0
14-09-2023T15-40-31.907_depth_Camera_12.png, http://10.179.0.12, 2023-09-14,15:40:31.907, Zone7, 0
14-09-2023T15-40-31.915_depth_Camera_28.png, http://10.179.0.28, 2023-09-14,15:40:31.915, Zone8, 0
14-09-2023T15-40-31.930_depth_Camera_21.png, http://10.179.0.21, 2023-09-14,15:40:31.930, Zone9, 0
14-09-2023T15-40-32.049_validation_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:32.049, Zone1, 0
14-09-2023T15-40-32.049_validation_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:32.049, Zone 1.1, 0
14-09-2023T15-40-32.049_validation_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:32.049, Zone2.1, 0
14-09-2023T15-40-32.049_validation_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:32.049, Zone2, 0
14-09-2023T15-40-32.060_validation_Camera_34.png, http://10.179.0.34, 2023-09-14,15:40:32.060, Zone3, 0
14-09-2023T15-40-32.049_validation_Camera_43.png, http://10.179.0.43, 2023-09-14,15:40:32.049, Zone4, 0
14-09-2023T15-40-32.060_validation_Camera_20.png, http://10.179.0.20, 2023-09-14,15:40:32.060, Zone5, 0
14-09-2023T15-40-32.053_validation_Camera_12.png, http://10.179.0.12, 2023-09-14,15:40:32.053, Zone7, 0
14-09-2023T15-40-32.060_validation_Camera_28.png, http://10.179.0.28, 2023-09-14,15:40:32.060, Zone8, 0
14-09-2023T15-40-32.066_validation_Camera_21.png, http://10.179.0.21, 2023-09-14,15:40:32.066, Zone9, 0
14-09-2023T15-40-32.693_depth_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:32.693, Zone1, 0
14-09-2023T15-40-32.693_depth_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:32.693, Zone 1.1, 0
14-09-2023T15-40-32.671_depth_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:32.671, Zone2.1, 0
14-09-2023T15-40-32.671_depth_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:32.671, Zone2, 0
14-09-2023T15-40-32.699_depth_Camera_34.png, http://10.179.0.34, 2023-09-14,15:40:32.699, Zone3, 0
14-09-2023T15-40-32.671_depth_Camera_43.png, http://10.179.0.43, 2023-09-14,15:40:32.671, Zone4, 0
14-09-2023T15-40-32.693_depth_Camera_20.png, http://10.179.0.20, 2023-09-14,15:40:32.693, Zone5, 0
14-09-2023T15-40-32.678_depth_Camera_12.png, http://10.179.0.12, 2023-09-14,15:40:32.678, Zone7, 0
14-09-2023T15-40-32.678_depth_Camera_28.png, http://10.179.0.28, 2023-09-14,15:40:32.678, Zone8, 0
14-09-2023T15-40-32.694_depth_Camera_21.png, http://10.179.0.21, 2023-09-14,15:40:32.694, Zone9, 0
14-09-2023T15-40-32.811_validation_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:32.811, Zone1, 0
14-09-2023T15-40-32.811_validation_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:32.811, Zone 1.1, 0
14-09-2023T15-40-32.811_validation_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:32.811, Zone2.1, 0
14-09-2023T15-40-32.811_validation_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:32.811, Zone2, 0
14-09-2023T15-40-32.819_validation_Camera_34.png, http://10.179.0.34, 2023-09-14,15:40:32.819, Zone3, 0
14-09-2023T15-40-32.811_validation_Camera_43.png, http://10.179.0.43, 2023-09-14,15:40:32.811, Zone4, 0
14-09-2023T15-40-32.816_validation_Camera_20.png, http://10.179.0.20, 2023-09-14,15:40:32.816, Zone5, 0
14-09-2023T15-40-32.811_validation_Camera_12.png, http://10.179.0.12, 2023-09-14,15:40:32.811, Zone7, 0
