Date,Time logged,Updated,Zone,Person Count
2023-10-07,17:15:26.703,17:15:26.667,Zone_08-01,0
2023-10-07,17:15:26.704,17:15:26.667,Zone_08-02,0
2023-10-07,17:15:26.704,17:15:26.647,Zone_12-05,0
2023-10-07,17:15:26.704,17:15:26.647,Zone_12-03,0
2023-10-07,17:15:26.704,17:15:26.647,Zone_12-04,0
2023-10-07,17:15:26.705,17:15:26.647,Zone_12-01,0
2023-10-07,17:15:26.705,17:15:26.647,Zone_12-02,0
2023-10-07,17:15:26.705,17:15:26.647,Zone_10-03,0
2023-10-07,17:15:26.705,17:15:26.647,Zone_10-04,0
2023-10-07,17:15:26.706,17:15:26.647,Zone_10-01,0
2023-10-07,17:15:26.706,17:15:26.647,Zone_10-02,0
2023-10-07,17:15:26.706,17:15:26.647,Zone_10-06,0
2023-10-07,17:15:26.706,17:15:26.647,Zone_10-05,0
2023-10-07,17:15:26.707,17:15:26.647,Zone_10-07,0
2023-10-07,17:15:26.707,17:15:26.648,Zone_01-06,0
2023-10-07,17:15:26.707,17:15:26.648,Zone_01-05,0
2023-10-07,17:15:26.708,17:15:26.648,Zone_01-04,0
2023-10-07,17:15:26.708,17:15:26.648,Zone_01-03,0
2023-10-07,17:15:26.708,17:15:26.648,Zone_01-02,0
2023-10-07,17:15:26.709,17:15:26.648,Zone_01-01,0
2023-10-07,17:15:26.709,17:15:26.648,Zone_01-07,0
2023-10-07,17:15:26.709,17:15:26.648,Zone_01-08,0
2023-10-07,17:15:27.171,17:15:27.127,Zone_09-04,0
2023-10-07,17:15:27.172,17:15:27.127,Zone_09-03,0
2023-10-07,17:15:27.172,17:15:27.127,Zone_09-02,0
2023-10-07,17:15:27.172,17:15:27.127,Zone_09-01,0
2023-10-07,17:15:27.173,17:15:27.127,Zone_07-01,0
2023-10-07,17:15:27.173,17:15:27.127,Zone_07-02,0
2023-10-07,17:15:27.173,17:15:27.127,Zone_07-03,0
2023-10-07,17:15:27.173,17:15:27.127,Zone_07-04,0
2023-10-07,17:15:27.174,17:15:27.128,Zone_05-03,0
2023-10-07,17:15:27.174,17:15:27.128,Zone_05-04,0
2023-10-07,17:15:27.174,17:15:27.128,Zone_05-05,0
2023-10-07,17:15:27.175,17:15:27.128,Zone_05-06,0
2023-10-07,17:15:27.175,17:15:27.128,Zone_05-01,0
2023-10-07,17:15:27.175,17:15:27.128,Zone_05-02,0
2023-10-07,17:15:27.175,17:15:27.148,Zone_03-01,0
2023-10-07,17:15:27.176,17:15:27.148,Zone_03-02,0
2023-10-07,17:15:27.176,17:15:27.148,Zone_03-03,0
2023-10-07,17:15:27.176,17:15:27.128,Zone_02-01,0
2023-10-07,17:15:27.176,17:15:27.128,Zone_02-03,0
2023-10-07,17:15:27.177,17:15:27.128,Zone_02-02,0
2023-10-07,17:15:27.177,17:15:27.128,Zone_02-05,0
2023-10-07,17:15:27.177,17:15:27.128,Zone_02-04,0
2023-10-07,17:15:27.177,17:15:27.128,Zone_04-01,0
2023-10-07,17:15:27.177,17:15:27.128,Zone_04-06,0
2023-10-07,17:15:27.178,17:15:27.128,Zone_04-02,0
2023-10-07,17:15:27.178,17:15:27.128,Zone_04-03,0
2023-10-07,17:15:27.178,17:15:27.128,Zone_04-04,0
2023-10-07,17:15:27.178,17:15:27.128,Zone_04-05,0
2023-10-07,17:15:27.179,17:15:27.127,Zone_06-05,0
2023-10-07,17:15:27.179,17:15:27.127,Zone_06-04,0
2023-10-07,17:15:27.179,17:15:27.127,Zone_06-01,0
2023-10-07,17:15:27.179,17:15:27.127,Zone_06-03,0
2023-10-07,17:15:27.179,17:15:27.127,Zone_06-02,1
2023-10-07,17:15:27.180,17:15:27.129,Zone_14-01,0
2023-10-07,17:15:27.180,17:15:27.129,Zone_14-02,0
2023-10-07,17:15:27.180,17:15:27.129,Zone_14-03,0
2023-10-07,17:15:27.180,17:15:27.129,Zone_14-04,0
2023-10-07,17:15:27.181,17:15:27.129,Zone_14-05,0
